GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010001002046,421010001002046,"Block 2046, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",54,47,6,0,0,0,0,1
1000000US421010001002047,421010001002047,"Block 2047, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",20,20,0,0,0,0,0,0
1000000US421010001002048,421010001002048,"Block 2048, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010001002049,421010001002049,"Block 2049, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",310,268,10,0,17,0,7,8
1000000US421010001002050,421010001002050,"Block 2050, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",75,67,0,0,5,1,1,1
1000000US421010001002051,421010001002051,"Block 2051, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",122,102,7,0,6,0,0,7
1000000US421010001002052,421010001002052,"Block 2052, Block Group 2, Census Tract 1, Philadelphia County, Pennsylvania",11,8,1,0,2,0,0,0
1000000US421010002001000,421010002001000,"Block 1000, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001001,421010002001001,"Block 1001, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001002,421010002001002,"Block 1002, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001003,421010002001003,"Block 1003, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001004,421010002001004,"Block 1004, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001005,421010002001005,"Block 1005, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001006,421010002001006,"Block 1006, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001007,421010002001007,"Block 1007, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001008,421010002001008,"Block 1008, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001009,421010002001009,"Block 1009, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001010,421010002001010,"Block 1010, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001011,421010002001011,"Block 1011, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001012,421010002001012,"Block 1012, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001013,421010002001013,"Block 1013, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",7,6,1,0,0,0,0,0
1000000US421010002001014,421010002001014,"Block 1014, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",4,2,0,0,2,0,0,0
1000000US421010002001015,421010002001015,"Block 1015, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001016,421010002001016,"Block 1016, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2,2,0,0,0,0,0,0
1000000US421010002001017,421010002001017,"Block 1017, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001018,421010002001018,"Block 1018, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001019,421010002001019,"Block 1019, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001020,421010002001020,"Block 1020, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001021,421010002001021,"Block 1021, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001022,421010002001022,"Block 1022, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",26,4,2,0,19,0,0,1
1000000US421010002001023,421010002001023,"Block 1023, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",54,10,0,0,44,0,0,0
1000000US421010002001024,421010002001024,"Block 1024, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",42,8,3,0,30,0,0,1
1000000US421010002001025,421010002001025,"Block 1025, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",5,1,0,0,4,0,0,0
1000000US421010002001026,421010002001026,"Block 1026, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
